"Component","FileCount","TotalChanges"
"ChunkedMessages","2","2681"
"FeedbackPanel","1","1118"
"ChunkedMessagesComponent","1","592"
"ChunkedMessagesDebug","1","345"
"index","3","292"
"MessagingContainer","1","274"
"MessageStreamColumn","1","269"
"ParallelMessagesContainer","1","227"
"ChunkedControlPanel","1","185"
"FeedbackTestingMessages_depr","1","184"
"ChunkedMessagesStreamIndicator","1","91"
"MessageRow","1","52"
"ShowHumanFeedbackToggle","2","50"
"TextSelectionDebugger","1","40"
"Header","1","30"
"ShowChunkedMessagesToggle","1","23"
"conversation","1","21"
"MessageContent","1","19"
"SettingsDrawer","1","18"
"FirstTurnSuggestions","1","14"
"page","1","13"
"Chat","1","12"
"SettingsTab","1","10"
"Settings","1","2"
"UI","1","1"
