"Directory","FileCount","TotalLinesAdded","TotalLinesDeleted","TotalChanges"
"src","243","7077","3588","10665"
"src/interfaces","195","6276","3205","9481"
"src/interfaces/coral_web","188","6237","3203","9440"
"src/backend","40","651","376","1027"
"src/backend/routers","12","346","199","545"
"src/backend/tools","12","124","118","242"
"src/community","8","150","7","157"
"src/community/tools","5","99","4","103"
"src/backend/services","1","61","29","90"
"src/backend/schemas","8","46","12","58"
"src/community/utils","2","48","0","48"
"src/interfaces/assistants_web","7","39","2","41"
"src/backend/alembic","1","34","0","34"
"src/backend/config","4","18","12","30"
"azure_compose_deploy","2","28","0","28"
"src/backend/chat","1","17","6","23"
".vscode","2","12","7","19"
"src/community/config","1","3","3","6"
"src/backend/database_models","1","5","0","5"
