"filename","editdate"
".vscode/settings.default.json","2025-02-08"
"azure_compose_deploy/add_parallel_columns.sql","2025-02-24"
"azure_compose_deploy/pyrightconfig.json","2025-02-21"
"docker-compose.yml","2025-02-22"
"openapi-test.json","2025-02-22"
"poetry.lock","2025-02-22"
"pyproject.toml","2025-02-21"
"src/backend/alembic/versions/2025_02_24_df34019947a0_add_parallel_message_columns.py","2025-02-24"
"src/backend/chat/custom/custom.py","2025-02-22"
"src/backend/config/default_agent.py","2025-02-09"
"src/backend/config/secrets.template.yaml","2025-02-07"
"src/backend/config/tools.py","2025-02-09"
"src/backend/database_models/message.py","2025-02-24"
"src/backend/routers/chat.py","2025-02-24"
"src/backend/schemas/cohere_chat.py","2025-02-22"
"src/backend/schemas/context.py","2025-02-24"
"src/backend/schemas/message.py","2025-02-24"
"src/backend/services/chat.py","2025-02-24"
"src/backend/tools/__init__.py","2025-02-09"
"src/backend/tools/calculator.py","2025-02-22"
"src/backend/tools/hybrid_search.py","2025-02-22"
"src/backend/tools/meeting_setup/__init__.py","2025-02-08"
"src/backend/tools/meeting_setup/constants.py","2025-02-08"
"src/backend/tools/meeting_setup/tool.py","2025-02-08"
"src/backend/tools/python_interpreter.py","2025-02-22"
"src/backend/tools/test.txt","2025-02-07"
"src/community/config/tools.py","2025-02-09"
"src/community/tools/__init__.py","2025-02-09"
"src/community/tools/arxiv.py","2025-02-09"
"src/community/tools/meeting.py","2025-02-22"
"src/community/utils/__init__.py","2025-02-21"
"src/community/utils/database.py","2025-02-21"
"src/interfaces/assistants_web/src/app/(main)/settings/Settings.tsx","2025-02-21"
"src/interfaces/assistants_web/src/components/UI/index.ts","2025-02-21"
"src/interfaces/assistants_web/src/components/UI/ShowHumanFeedbackToggle.tsx","2025-02-28"
"src/interfaces/assistants_web/src/stores/persistedStore.ts","2025-02-21"
"src/interfaces/assistants_web/src/stores/slices/settingsSlice.ts","2025-02-22"
"src/interfaces/coral_web/__tests__/parallelStreamChat.test.ts","2025-02-23"
"src/interfaces/coral_web/__tests__/TestParallelStream.ts","2025-02-23"
"src/interfaces/coral_web/Dockerfile","2025-02-22"
"src/interfaces/coral_web/package.json","2025-02-22"
"src/interfaces/coral_web/src/app/(main)/(chat)/Chat.tsx","2025-02-23"
"src/interfaces/coral_web/src/app/(main)/(chat)/page.tsx","2025-02-27"
"src/interfaces/coral_web/src/cohere-client/client.ts","2025-02-25"
"src/interfaces/coral_web/src/cohere-client/constants.ts","2025-02-27"
"src/interfaces/coral_web/src/cohere-client/mappings.ts","2025-02-22"
"src/interfaces/coral_web/src/cohere-client/types.ts","2025-02-24"
"src/interfaces/coral_web/src/components/ChunkedMessages.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/ChunkedMessages/ChunkedControlPanel.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/ChunkedMessages/ChunkedMessagesComponent.tsx","2025-02-28"
"src/interfaces/coral_web/src/components/ChunkedMessages/FeedbackPanel.tsx","2025-02-28"
"src/interfaces/coral_web/src/components/ChunkedMessages/index.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/ChunkedMessages/MessageStreamColumn.tsx","2025-02-28"
"src/interfaces/coral_web/src/components/ChunkedMessages/TextSelectionDebugger.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/ChunkedMessages/types.ts","2025-02-27"
"src/interfaces/coral_web/src/components/ChunkedMessagesDebug.tsx","2025-02-26"
"src/interfaces/coral_web/src/components/ChunkedMessagesStreamIndicator.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/Conversation/Composer/index.tsx","2025-02-28"
"src/interfaces/coral_web/src/components/Conversation/FeedbackTestingMessages_depr.tsx","2025-02-26"
"src/interfaces/coral_web/src/components/Conversation/Header.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/Conversation/index.tsx","2025-02-25"
"src/interfaces/coral_web/src/components/Conversation/MessagingContainer.tsx","2025-02-26"
"src/interfaces/coral_web/src/components/Conversation/ParallelMessagesContainer.tsx","2025-02-25"
"src/interfaces/coral_web/src/components/FirstTurnSuggestions.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/MessageContent.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/MessageRow.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/Settings/SettingsDrawer.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/Settings/SettingsTab.tsx","2025-02-27"
"src/interfaces/coral_web/src/components/Settings/ShowChunkedMessagesToggle.tsx","2025-02-28"
"src/interfaces/coral_web/src/components/Settings/ShowHumanFeedbackToggle.tsx","2025-02-28"
"src/interfaces/coral_web/src/hooks/chat.ts","2025-02-25"
"src/interfaces/coral_web/src/hooks/conversation.tsx","2025-02-24"
"src/interfaces/coral_web/src/hooks/parallelStreamChat.ts","2025-02-26"
"src/interfaces/coral_web/src/hooks/settings.ts","2025-02-27"
"src/interfaces/coral_web/src/hooks/streamChat.ts","2025-02-24"
"src/interfaces/coral_web/src/hooks/useTextSelection.ts","2025-02-27"
"src/interfaces/coral_web/src/stores/persistedStore.ts","2025-02-27"
"src/interfaces/coral_web/src/stores/slices/chunkedMessagesSlice.ts","2025-02-28"
"src/interfaces/coral_web/src/stores/slices/feedbackTestingSlice.ts","2025-02-26"
"src/interfaces/coral_web/src/stores/slices/paramsSlice.ts","2025-02-27"
"src/interfaces/coral_web/src/stores/slices/settingsSlice.ts","2025-02-26"
"src/interfaces/coral_web/src/styles/globals.css","2025-02-27"
"src/interfaces/coral_web/src/types/message.ts","2025-02-27"
"src/interfaces/coral_web/src/utils/conversation.ts","2025-02-24"
"src/interfaces/coral_web/tsconfig.json","2025-02-09"
